VTH_n,Freq
0.269489142,1.78E+09
0.279927331,1.76E+09
0.289348484,1.74E+09
0.296792306,1.72E+09
0.298768732,1.72E+09
0.30033015,1.72E+09
0.303562979,1.71E+09
0.305342241,1.71E+09
0.311411295,1.69E+09
0.312359363,1.69E+09
0.313025227,1.69E+09
0.313690093,1.69E+09
0.314222161,1.69E+09
0.314970399,1.69E+09
0.316560194,1.68E+09
0.317755961,1.68E+09
0.319006223,1.68E+09
0.31948522,1.68E+09
0.319686503,1.68E+09
0.319745273,1.68E+09
0.320063439,1.68E+09
0.32219266,1.67E+09
0.323606739,1.67E+09
0.324510007,1.67E+09
0.326103945,1.66E+09
0.330832751,1.65E+09
0.330875351,1.65E+09
0.33090903,1.65E+09
0.331352302,1.65E+09
0.3322711,1.65E+09
0.332752391,1.65E+09
0.333422942,1.65E+09
0.333989784,1.65E+09
0.337002907,1.64E+09
0.338085851,1.64E+09
0.338376361,1.64E+09
0.339619528,1.63E+09
0.339632846,1.63E+09
0.34005803,1.63E+09
0.340401832,1.63E+09
0.341148313,1.63E+09
0.34123172,1.63E+09
0.341392289,1.63E+09
0.341850513,1.63E+09
0.342606979,1.63E+09
0.343412226,1.62E+09
0.344021252,1.62E+09
0.344485473,1.62E+09
0.345739846,1.62E+09
0.346808524,1.62E+09
0.346821961,1.62E+09
0.346838268,1.62E+09
0.347576881,1.61E+09
0.349174813,1.61E+09
0.349510012,1.61E+09
0.351601666,1.61E+09
0.35251765,1.60E+09
0.352540072,1.60E+09
0.352713688,1.60E+09
0.35336414,1.60E+09
0.353668348,1.60E+09
0.353971153,1.60E+09
0.354419111,1.60E+09
0.354461583,1.60E+09
0.355189045,1.60E+09
0.355206234,1.60E+09
0.355776219,1.60E+09
0.355993634,1.59E+09
0.358026085,1.59E+09
0.358645339,1.59E+09
0.358731029,1.59E+09
0.359453572,1.59E+09
0.359560961,1.59E+09
0.359582158,1.59E+09
0.360102781,1.59E+09
0.360788069,1.58E+09
0.361686286,1.58E+09
0.361798418,1.58E+09
0.362114651,1.58E+09
0.362193969,1.58E+09
0.362641181,1.58E+09
0.362705804,1.58E+09
0.363160918,1.58E+09
0.36404263,1.58E+09
0.364062012,1.58E+09
0.364198707,1.58E+09
0.364300348,1.58E+09
0.36694567,1.57E+09
0.367657846,1.57E+09
0.367678816,1.57E+09
0.367964702,1.57E+09
0.368121085,1.57E+09
0.368279059,1.57E+09
0.368868611,1.56E+09
0.369001503,1.56E+09
0.369202111,1.56E+09
0.369480947,1.56E+09
0.371102341,1.56E+09
0.371428031,1.56E+09
0.371772388,1.56E+09
0.372376611,1.56E+09
0.372555968,1.56E+09
0.372766306,1.55E+09
0.374486281,1.55E+09
0.374520027,1.55E+09
0.374883314,1.55E+09
0.374885853,1.55E+09
0.377648202,1.54E+09
0.377872484,1.54E+09
0.378177572,1.54E+09
0.378269731,1.54E+09
0.378703504,1.54E+09
0.378758809,1.54E+09
0.378764116,1.54E+09
0.378968062,1.54E+09
0.379068664,1.54E+09
0.379343659,1.54E+09
0.37974428,1.54E+09
0.379783829,1.54E+09
0.379787267,1.54E+09
0.380921586,1.53E+09
0.381697095,1.53E+09
0.38198524,1.53E+09
0.382109705,1.53E+09
0.38227854,1.53E+09
0.382891816,1.53E+09
0.383217316,1.53E+09
0.38337873,1.53E+09
0.383724794,1.53E+09
0.383731742,1.53E+09
0.383738818,1.53E+09
0.384001109,1.53E+09
0.38423127,1.53E+09
0.384232211,1.53E+09
0.384451125,1.53E+09
0.384459465,1.53E+09
0.38488981,1.52E+09
0.386358664,1.52E+09
0.386776545,1.52E+09
0.386780633,1.52E+09
0.386855347,1.52E+09
0.387971046,1.52E+09
0.388470165,1.52E+09
0.389902707,1.51E+09
0.390134588,1.51E+09
0.390307398,1.51E+09
0.390539334,1.51E+09
0.390607766,1.51E+09
0.391167854,1.51E+09
0.391274496,1.51E+09
0.39145351,1.51E+09
0.391500344,1.51E+09
0.391596991,1.51E+09
0.393508614,1.52E+09
0.39357252,1.52E+09
0.393669364,1.52E+09
0.393745631,1.52E+09
0.395453452,1.50E+09
0.395548087,1.50E+09
0.396515116,1.50E+09
0.3969575,1.49E+09
0.398684375,1.49E+09
0.399294701,1.49E+09
0.399550369,1.49E+09
0.39985446,1.49E+09
0.400611089,1.48E+09
0.400820043,1.48E+09
0.401233005,1.48E+09
0.402779321,1.48E+09
0.402945231,1.48E+09
0.403378478,1.48E+09
0.403530204,1.48E+09
0.403583338,1.48E+09
0.404278147,1.47E+09
0.404631029,1.47E+09
0.404649465,1.47E+09
0.406293904,1.47E+09
0.406652092,1.47E+09
0.408162095,1.46E+09
0.408200281,1.46E+09
0.408321523,1.46E+09
0.410143111,1.46E+09
0.410367408,1.46E+09
0.410734712,1.46E+09
0.410916411,1.46E+09
0.412222067,1.45E+09
0.412880594,1.45E+09
0.413503986,1.45E+09
0.416163649,1.44E+09
0.416603724,1.44E+09
0.418167916,1.45E+09
0.418374652,1.45E+09
0.418583063,1.45E+09
0.420798772,1.44E+09
0.420811424,1.44E+09
0.426723573,1.42E+09
0.435243586,1.39E+09
0.439907215,1.38E+09
0.446441018,1.36E+09
0.452489855,1.34E+09
