TOX ,freq
3.50E-09,1.63E+09
3.56E-09,1.63E+09
3.56E-09,1.63E+09
3.59E-09,1.62E+09
3.63E-09,1.62E+09
3.64E-09,1.62E+09
3.64E-09,1.62E+09
3.65E-09,1.62E+09
3.65E-09,1.62E+09
3.67E-09,1.62E+09
3.67E-09,1.62E+09
3.67E-09,1.62E+09
3.68E-09,1.61E+09
3.69E-09,1.61E+09
3.69E-09,1.61E+09
3.70E-09,1.61E+09
3.70E-09,1.61E+09
3.70E-09,1.61E+09
3.71E-09,1.61E+09
3.72E-09,1.61E+09
3.74E-09,1.61E+09
3.75E-09,1.61E+09
3.76E-09,1.61E+09
3.77E-09,1.61E+09
3.77E-09,1.61E+09
3.77E-09,1.61E+09
3.77E-09,1.61E+09
3.78E-09,1.61E+09
3.79E-09,1.60E+09
3.79E-09,1.60E+09
3.79E-09,1.60E+09
3.79E-09,1.60E+09
3.80E-09,1.60E+09
3.80E-09,1.60E+09
3.80E-09,1.60E+09
3.80E-09,1.60E+09
3.80E-09,1.60E+09
3.81E-09,1.60E+09
3.82E-09,1.60E+09
3.83E-09,1.60E+09
3.83E-09,1.60E+09
3.83E-09,1.60E+09
3.83E-09,1.60E+09
3.84E-09,1.60E+09
3.84E-09,1.60E+09
3.84E-09,1.60E+09
3.84E-09,1.60E+09
3.85E-09,1.60E+09
3.85E-09,1.60E+09
3.85E-09,1.60E+09
3.85E-09,1.60E+09
3.85E-09,1.60E+09
3.87E-09,1.60E+09
3.87E-09,1.60E+09
3.87E-09,1.60E+09
3.87E-09,1.60E+09
3.88E-09,1.59E+09
3.88E-09,1.59E+09
3.88E-09,1.59E+09
3.88E-09,1.59E+09
3.89E-09,1.59E+09
3.89E-09,1.59E+09
3.89E-09,1.59E+09
3.89E-09,1.59E+09
3.89E-09,1.59E+09
3.90E-09,1.59E+09
3.90E-09,1.59E+09
3.90E-09,1.59E+09
3.90E-09,1.59E+09
3.91E-09,1.59E+09
3.91E-09,1.59E+09
3.92E-09,1.59E+09
3.93E-09,1.59E+09
3.94E-09,1.59E+09
3.95E-09,1.59E+09
3.95E-09,1.59E+09
3.95E-09,1.59E+09
3.95E-09,1.59E+09
3.95E-09,1.59E+09
3.95E-09,1.59E+09
3.96E-09,1.59E+09
3.96E-09,1.59E+09
3.96E-09,1.59E+09
3.96E-09,1.59E+09
3.97E-09,1.59E+09
3.97E-09,1.59E+09
3.97E-09,1.58E+09
3.97E-09,1.58E+09
3.98E-09,1.58E+09
3.98E-09,1.58E+09
3.98E-09,1.58E+09
3.99E-09,1.58E+09
3.99E-09,1.58E+09
3.99E-09,1.58E+09
3.99E-09,1.58E+09
4.00E-09,1.58E+09
4.00E-09,1.58E+09
4.00E-09,1.58E+09
4.00E-09,1.58E+09
4.00E-09,1.58E+09
4.01E-09,1.58E+09
4.01E-09,1.58E+09
4.01E-09,1.58E+09
4.02E-09,1.58E+09
4.02E-09,1.58E+09
4.02E-09,1.58E+09
4.02E-09,1.58E+09
4.03E-09,1.58E+09
4.03E-09,1.58E+09
4.03E-09,1.58E+09
4.03E-09,1.58E+09
4.03E-09,1.58E+09
4.03E-09,1.58E+09
4.03E-09,1.58E+09
4.03E-09,1.58E+09
4.04E-09,1.58E+09
4.04E-09,1.58E+09
4.04E-09,1.58E+09
4.04E-09,1.58E+09
4.05E-09,1.58E+09
4.05E-09,1.58E+09
4.05E-09,1.58E+09
4.05E-09,1.58E+09
4.05E-09,1.58E+09
4.05E-09,1.58E+09
4.06E-09,1.58E+09
4.06E-09,1.58E+09
4.06E-09,1.58E+09
4.06E-09,1.57E+09
4.06E-09,1.57E+09
4.07E-09,1.57E+09
4.07E-09,1.57E+09
4.07E-09,1.57E+09
4.07E-09,1.57E+09
4.07E-09,1.57E+09
4.07E-09,1.57E+09
4.07E-09,1.57E+09
4.07E-09,1.57E+09
4.08E-09,1.57E+09
4.08E-09,1.57E+09
4.08E-09,1.57E+09
4.08E-09,1.57E+09
4.09E-09,1.57E+09
4.09E-09,1.57E+09
4.09E-09,1.57E+09
4.09E-09,1.57E+09
4.09E-09,1.57E+09
4.10E-09,1.57E+09
4.10E-09,1.57E+09
4.11E-09,1.57E+09
4.11E-09,1.57E+09
4.11E-09,1.57E+09
4.11E-09,1.57E+09
4.11E-09,1.57E+09
4.12E-09,1.57E+09
4.13E-09,1.57E+09
4.13E-09,1.57E+09
4.13E-09,1.57E+09
4.13E-09,1.57E+09
4.13E-09,1.57E+09
4.14E-09,1.57E+09
4.14E-09,1.57E+09
4.15E-09,1.57E+09
4.15E-09,1.56E+09
4.16E-09,1.56E+09
4.16E-09,1.56E+09
4.16E-09,1.56E+09
4.16E-09,1.56E+09
